timestamp,date,hour
2022-12-21 19:43:00.343000+00:00,2022-12-21,19.72
2022-12-21 06:27:08.007000+00:00,2022-12-21,6.45
2022-12-21 04:56:21.702000+00:00,2022-12-21,4.93
2022-12-20 22:49:28.432000+00:00,2022-12-20,22.82
2022-12-20 20:19:03.984000+00:00,2022-12-20,20.32
2022-12-16 20:15:30.189000+00:00,2022-12-16,20.25
2022-12-16 18:47:35.021000+00:00,2022-12-16,18.78
2022-12-16 18:46:03.449000+00:00,2022-12-16,18.77
2022-12-16 08:56:06.624000+00:00,2022-12-16,8.93
2022-12-14 21:44:47.717000+00:00,2022-12-14,21.73
2022-12-13 20:45:36.097000+00:00,2022-12-13,20.75
2022-12-13 20:33:16.453000+00:00,2022-12-13,20.55
2022-12-12 05:34:38.521000+00:00,2022-12-12,5.57
2022-12-11 06:05:07.566000+00:00,2022-12-11,6.08
2022-12-10 18:58:22.743000+00:00,2022-12-10,18.97
2022-12-10 04:04:10.940000+00:00,2022-12-10,4.07
2022-12-10 03:37:24.361000+00:00,2022-12-10,3.62
2022-12-09 18:34:12.556000+00:00,2022-12-09,18.57
2022-12-06 18:29:26.104000+00:00,2022-12-06,18.48
2022-12-06 18:18:41.130000+00:00,2022-12-06,18.3
2022-12-05 09:08:58.472000+00:00,2022-12-05,9.13
2022-12-04 19:10:22.023000+00:00,2022-12-04,19.17
2022-12-04 19:03:43.633000+00:00,2022-12-04,19.05
2022-12-04 02:11:39.526000+00:00,2022-12-04,2.18
2022-12-03 23:53:52.999000+00:00,2022-12-03,23.88
2022-12-03 08:53:58.860000+00:00,2022-12-03,8.88
2022-12-03 08:41:13.553000+00:00,2022-12-03,8.68
2022-12-01 18:50:52.583000+00:00,2022-12-01,18.83
2022-12-01 18:02:32.411000+00:00,2022-12-01,18.03
2022-11-28 06:20:03.483000+00:00,2022-11-28,6.33
2022-11-27 17:21:59.186000+00:00,2022-11-27,17.35
2022-11-27 02:46:30.845000+00:00,2022-11-27,2.77
2022-11-22 05:36:16.184000+00:00,2022-11-22,5.6
2022-11-22 04:24:09.803000+00:00,2022-11-22,4.4
2022-11-19 01:53:44.530000+00:00,2022-11-19,1.88
2022-11-18 01:18:07.985000+00:00,2022-11-18,1.3
2022-11-18 01:11:02.283000+00:00,2022-11-18,1.18
2022-11-17 23:57:59.890000+00:00,2022-11-17,23.95
2022-11-16 07:56:13.300000+00:00,2022-11-16,7.93
2022-11-16 05:54:25.109000+00:00,2022-11-16,5.9
2022-11-13 20:11:00.949000+00:00,2022-11-13,20.18
2022-11-12 03:51:58.583000+00:00,2022-11-12,3.85
2022-11-12 03:48:27.610000+00:00,2022-11-12,3.8
2022-11-10 19:53:26.798000+00:00,2022-11-10,19.88
2022-10-31 23:42:06.186000+00:00,2022-10-31,23.7
2022-10-30 21:54:44.149000+00:00,2022-10-30,21.9
2022-10-30 21:08:02.159000+00:00,2022-10-30,21.13
2022-10-30 19:39:22.353000+00:00,2022-10-30,19.65
2022-10-30 18:28:35.765000+00:00,2022-10-30,18.47
2022-10-30 18:15:07.793000+00:00,2022-10-30,18.25
2022-10-30 00:56:01.825000+00:00,2022-10-30,0.93
2022-10-29 17:49:33.143000+00:00,2022-10-29,17.82
2022-10-29 04:18:44.863000+00:00,2022-10-29,4.3
2022-10-29 02:54:36.089000+00:00,2022-10-29,2.9
2022-10-27 17:11:12.289000+00:00,2022-10-27,17.18
2022-10-27 13:59:41.167000+00:00,2022-10-27,13.98
2022-10-26 22:04:50.251000+00:00,2022-10-26,22.07
2022-10-26 21:54:48.206000+00:00,2022-10-26,21.9
2022-10-25 05:08:08.770000+00:00,2022-10-25,5.13
2022-10-22 16:37:29.154000+00:00,2022-10-22,16.62
2022-10-22 02:18:02.108000+00:00,2022-10-22,2.3
2022-10-21 05:33:02.020000+00:00,2022-10-21,5.55
2022-10-18 22:34:20.243000+00:00,2022-10-18,22.57
2022-10-18 07:12:04.672000+00:00,2022-10-18,7.2
2022-10-18 06:18:03.278000+00:00,2022-10-18,6.3
2022-10-18 04:27:48.738000+00:00,2022-10-18,4.45
2022-10-16 22:57:04.655000+00:00,2022-10-16,22.95
2022-10-15 19:53:21.944000+00:00,2022-10-15,19.88
2022-10-15 02:22:20.580000+00:00,2022-10-15,2.37
2022-10-15 01:01:10.828000+00:00,2022-10-15,1.02
2022-10-14 07:36:47.465000+00:00,2022-10-14,7.6
2022-10-14 01:55:25.117000+00:00,2022-10-14,1.92
2022-10-12 16:51:25.271000+00:00,2022-10-12,16.85
2022-10-09 07:34:18.157000+00:00,2022-10-09,7.57
2022-10-08 22:33:26.233000+00:00,2022-10-08,22.55
2022-10-07 17:53:39.893000+00:00,2022-10-07,17.88
2022-09-28 23:41:46.783000+00:00,2022-09-28,23.68
2022-09-25 05:05:56.907000+00:00,2022-09-25,5.08
2022-09-24 17:27:46.139000+00:00,2022-09-24,17.45
2022-09-16 00:53:49.187000+00:00,2022-09-16,0.88
2022-09-14 23:51:57.729000+00:00,2022-09-14,23.85
2022-09-11 23:07:25.704000+00:00,2022-09-11,23.12
2022-08-09 06:32:51.908000+00:00,2022-08-09,6.53
2022-08-06 16:19:10.609000+00:00,2022-08-06,16.32
2022-08-06 14:05:22.076000+00:00,2022-08-06,14.08
2022-07-28 13:53:51.732000+00:00,2022-07-28,13.88
2022-07-23 16:39:54.933000+00:00,2022-07-23,16.65
2022-07-20 16:47:45.955000+00:00,2022-07-20,16.78
2022-07-18 18:13:14.210000+00:00,2022-07-18,18.22
2022-07-16 06:34:54.892000+00:00,2022-07-16,6.57
2022-07-15 16:56:04.993000+00:00,2022-07-15,16.93
2022-07-09 08:44:29.231000+00:00,2022-07-09,8.73
2022-07-09 07:14:20.126000+00:00,2022-07-09,7.23
2022-07-08 19:02:38.901000+00:00,2022-07-08,19.03
2022-06-24 09:20:24.331000+00:00,2022-06-24,9.33
2022-06-23 05:07:04.404000+00:00,2022-06-23,5.12
2022-06-21 06:24:54.553000+00:00,2022-06-21,6.4
2022-06-18 19:50:15.462000+00:00,2022-06-18,19.83
2022-06-11 16:13:13.842000+00:00,2022-06-11,16.22
2022-06-10 17:53:21.629000+00:00,2022-06-10,17.88
2022-06-09 18:04:32.853000+00:00,2022-06-09,18.07
2022-06-09 17:41:33.627000+00:00,2022-06-09,17.68
2022-06-07 16:56:32.339000+00:00,2022-06-07,16.93
2022-06-07 06:44:11.366000+00:00,2022-06-07,6.73
